supplier_id,is_late
SUP024,100.0
SUP029,100.0
SUP018,100.0
SUP012,100.0
SUP034,100.0
SUP087,100.0
SUP075,100.0
SUP045,100.0
SUP084,93.75
SUP016,91.66666666666666
SUP011,91.66666666666666
SUP098,89.47368421052632
SUP062,88.88888888888889
SUP097,88.88888888888889
SUP019,88.88888888888889
SUP052,87.5
SUP092,87.5
SUP074,87.5
SUP073,87.5
SUP076,87.5
SUP095,87.5
SUP035,86.66666666666667
SUP082,85.71428571428571
SUP033,85.71428571428571
SUP004,85.71428571428571
SUP094,83.33333333333334
SUP063,83.33333333333334
SUP001,83.33333333333334
SUP022,83.33333333333334
SUP020,83.33333333333334
SUP083,83.33333333333334
SUP100,83.33333333333334
SUP072,81.81818181818183
SUP043,81.81818181818183
SUP036,81.81818181818183
SUP048,81.81818181818183
SUP071,80.0
SUP044,78.57142857142857
SUP093,77.77777777777779
SUP067,77.77777777777779
SUP042,76.92307692307693
SUP023,75.0
SUP017,75.0
SUP030,75.0
SUP096,75.0
SUP008,75.0
SUP047,75.0
SUP056,75.0
SUP051,73.68421052631578
SUP080,72.72727272727273
SUP068,71.42857142857143
SUP021,71.42857142857143
SUP002,71.42857142857143
SUP059,71.42857142857143
SUP090,70.0
SUP060,70.0
SUP027,70.0
SUP025,70.0
SUP007,68.75
SUP039,66.66666666666666
SUP058,66.66666666666666
SUP091,66.66666666666666
SUP032,66.66666666666666
SUP031,66.66666666666666
SUP085,66.66666666666666
SUP066,66.66666666666666
SUP064,66.66666666666666
SUP054,65.0
SUP065,64.28571428571429
SUP055,63.63636363636363
SUP069,63.63636363636363
SUP038,62.5
SUP041,61.53846153846154
SUP079,60.0
SUP089,60.0
SUP026,60.0
SUP010,60.0
SUP003,60.0
SUP070,60.0
SUP046,58.82352941176471
SUP050,58.333333333333336
SUP077,57.14285714285714
SUP009,57.14285714285714
SUP086,57.14285714285714
SUP005,55.55555555555556
SUP049,54.54545454545454
SUP040,54.54545454545454
SUP015,53.84615384615385
SUP013,53.333333333333336
SUP088,50.0
SUP006,50.0
SUP081,50.0
SUP099,50.0
SUP037,50.0
SUP057,50.0
SUP028,44.44444444444444
SUP053,44.44444444444444
SUP014,42.857142857142854
SUP061,33.33333333333333
SUP078,0.0
